GDP at current market prices (Million euro),,,,,,,,,,,,,,,,,,
source: nama_10r_2gdp (eurostat) Swiss Federal Statistical Office (FSO) CHF-EURO 1.07 (2015),,,,,,,,,,,,,,,,,,
nuts_2,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
CZ01,15171.68,17419.58,20359.87,21170.92,23099.98,26870.28,30519.61,34851.67,41263.38,37949.9,40265.86,40819.11,39937.93,38926.93,37903.92,42448.39,44409.03,48750.85
CZ02,7260.13,8184.88,9546.19,9407.33,10302.72,11365.8,13312.48,14976.87,17647.62,15919.06,16629.81,17935.54,17873.56,17410.73,17912.91,19022.76,20632.19,22784.36
CZ03,7198.47,8054.85,9275.86,9344.65,10264.09,11614.53,13189.98,14112.21,15772.14,15047.59,15874.45,16526.1,16179.44,16171.66,16070.33,16935.9,17788.39,19089.78
CZ04,6127.55,6725.97,7838.05,8050.57,8577.69,9699.14,10788.7,11815.76,13654.6,12927.85,13178.67,13566.07,13248.37,12769.68,12360.29,13276.93,13300.32,14315.26
CZ05,8697.06,9700.18,11040.54,10886.04,11696.52,13323.09,14952.78,16512.32,18885,17400.43,18523.7,19449.26,18859.72,18452.17,18508.71,19773.43,20890.78,22980.9
CZ06,9473.68,10797.56,12401.32,12605.61,13501.09,15317.31,17315.1,19504.77,22865.2,21188.02,22273.7,23737.67,23861.36,23870.15,23518.73,25060.83,25942.75,27759.78
CZ07,6497.82,7275.89,8311.72,8436.58,9043.21,10188.57,11485.49,12708.34,15044.44,13881.19,14595.73,15496.79,15221.24,14849.29,15138.59,15827.88,16618.19,18024.15
CZ08,6412.38,7228.81,8281.5,8347.44,9543.18,11248.93,12379.04,13820.92,16180.73,14367.97,15376.32,16509.92,16252.71,15291.04,15246.48,16127.17,16788.48,18016.66
DE11,129806.79,137149,137077.77,139236.81,139367.48,138940.1,149239.95,158946.4,157437.08,144872.96,159984.55,169277.88,173825.93,178044.47,185664.69,198387.19,202849.32,209788.62
DE12,78523.32,81746.28,83203.44,83386.04,84676.06,86668.51,91282.01,95445.7,97800.5,93194.92,98661.16,102810.45,103822.36,105703.37,108396.37,113776.08,117550,121617.55
DE13,54110.97,55685.15,56180.03,56390.5,57444.05,58348.23,61551.51,64430.36,66165.91,61933.47,65957.61,69796.08,70893.93,73291.88,77004.02,79863.21,82466.09,85370.78
DE14,47109.15,48930.43,49356.72,49735.18,51209.78,52311.73,54882.95,58304.36,60082.13,55494.78,60309.64,64070.72,65146.92,67224.11,69606.99,72839.24,76820.6,79463.32
DE21,155299.61,162767.65,166000.72,164240.16,169728.19,172879.31,179916.09,190234.77,188196.76,184699.69,193647.53,207712.01,215064.3,223134.33,232022.01,244333.76,252617.4,262804.1
DE22,27212.93,28929.46,29568.12,29380.81,30685.82,31091.05,32164.92,33943.7,34482.74,33587.73,36542.98,38953.34,38857,40251.19,42703.79,43861.34,45480.54,47667.02
DE23,26536.87,26877.7,27814.17,27818.56,28459.21,29240.59,30245.53,32316.71,33334.86,32162.76,34569.23,36777.87,37618.97,38761.42,41029.78,42389.33,43584.35,45590.8
DE24,25213.75,26170.59,26182.27,25734.42,26505.18,26597.8,28071.21,28982.61,29280.07,29228.57,30594.66,32376.64,33029.7,33618.65,34768.71,36658.27,37797.04,39413.37
DE25,47381.82,47377.33,49270.63,48908.22,51196.95,50801.91,52614.85,54975.81,56720.2,55705.22,58143.27,61396.47,63532.13,64949.44,67494.69,70247.72,73050.13,76103.84
DE26,33321.29,34865.42,35518.84,35568.12,36225.98,37397,38562.68,40321.67,40614.07,38729.64,41146.16,44173.27,44829.39,45747.93,47158.55,48315.59,50473.64,52714.65
DE27,43773.79,45540.07,47293.81,46677.3,47821.95,48903.5,51328.04,52787.52,54304.38,52592.78,55559.03,59082.38,61083.14,62620.62,65456.47,67975.26,70398.92,73524.21
DE30,85335.52,86183.2,86305.8,85474.37,85407.35,87253.71,90411.69,94674.55,99302.09,99267.09,103291.96,108142.63,109909.82,112602.86,117941.53,124576.03,130355.11,136230.66
DE40,44684.57,45793.54,46391.66,46714.93,47955.89,48715.85,50819.6,53004.02,54883.55,53627.23,56033.82,57740.16,58992.51,60781.02,63791.21,65442.44,67324.91,69486.92
DE50,22360.54,23155.5,23821.61,24438.4,24694.26,25107.78,26285.26,27285.62,27652.41,25161.93,26718.76,27664.51,28871.42,29166.55,30065.35,31222.41,32205.21,33791.2
DE60,78126.89,82478.42,83916.47,84233.79,86051.73,87943.93,89173.25,92386.99,95144.79,91715.21,94577.94,95872.06,98016.74,102232.53,104944.38,110434.62,113165.06,117778.9
DE71,140075.66,145674.53,145856.71,149739.74,151616.93,152781.89,157543.9,163380.32,165387.01,157993.7,163086.6,169126.03,171057.98,175197.49,182451.85,186857.88,193476.6,200193.47
DE72,24429.91,25092.8,25404.34,25648.76,26456.26,26821.24,27546.46,28985.87,29840.92,27491.33,28449.1,29665.76,29762.74,30281.55,31666.69,32541.95,33639.35,34906.54
DE73,30006.75,30852.21,31461.38,32535.89,32593.23,32651.73,33833.45,35097.27,35340.76,34010.89,35634.96,36784.7,37199.67,38350.21,39774.25,41289.63,43314.57,44903.24
DE80,29126.64,29598.28,29882.88,30136.07,30639.2,30830.05,31669.84,33484.74,34451.75,34100.85,34968.91,36262.93,36710.33,38053.84,39533.14,40397.62,41170.85,42930.43
DE91,42893.74,44027.91,42476.19,43013.58,44170.68,45344.01,46691.03,49440.52,49593.4,46021.05,51032.26,55412.72,56385.62,57483.29,60282.67,58224.84,69233,71989.82
DE92,54956.39,55410.28,56154.61,56085.04,56611.88,59198.12,62066.27,63180.37,65267.6,62704.57,65497.36,69052.03,70224.91,70432.52,72726.5,74481.32,78189.51,81222.8
DE93,30977,31268.59,31434.88,31541.59,32316.24,32485.65,33824.26,35492.22,36387.42,35661.33,36994.91,38671.16,40288.91,41413.41,43580.47,44878.74,45781.2,47861.8
DE94,55011.74,56336.46,55821.86,56060.71,58436.83,58766.29,61884.72,65304.61,67974.32,65441.27,69326.64,72750.08,74613.78,76249.75,78592.84,81699.88,85134.12,88940.94
DEA1,148355.28,153891.36,155349.14,156582.86,161092.23,162978.09,166551.15,178344.71,186284.87,177723.73,180354.73,186673.44,187446.51,190560.12,197480.7,202341.79,207488.15,214292.34
DEA2,125769.3,128347.11,133759.73,131202.4,134291.74,134533.62,140629.27,148656.41,149094.8,146701.11,150452.78,155592.71,158235.36,162613.91,168525.31,176907.45,182982,188736
DEA3,57121.41,58572.49,58957.38,59610.31,62085.97,63247.79,65923.32,69751.52,72043.16,68409.92,71491.12,74474.3,75766.97,77227.12,79585.1,81715.71,84523.11,87530.45
DEA4,51820.74,52419.15,52694.05,52796.3,53742.69,55196.49,56909.2,60830.53,61550.58,59112.51,60929.14,64488.08,66114.28,68216.27,71145.32,72593.78,75529.78,78143.82
DEA5,85823.61,86435.01,87408.83,88176.26,90466.76,92588.42,95429.39,100419.47,103415.69,98430.87,102944.94,107556.47,108769.36,110208.26,114392.05,117061.81,120588.2,124601.02
DEB1,33605.74,33779.13,34688.82,34884.08,35897.5,36303.13,37683.08,39034.24,39645.94,38435.47,40448.16,42261.18,43130.18,44153.04,46190.59,47697.49,49208.02,51152.58
