GDP at current market prices (Million euro),,,,,,,,,,,,,,,,,,
source: nama_10r_2gdp (eurostat) Swiss Federal Statistical Office (FSO) CHF-EURO 1.07 (2015),,,,,,,,,,,,,,,,,,
nuts_2,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
HR04,16270.11,18006.47,19821.79,20991.22,22581.69,24779.47,27450.78,29691.62,32739.2,30827.87,30835.56,30714.41,30051.23,29834.73,29512.92,30333.55,31699.69,33239.85
HU10,22009,26290,32651,33545,37583,41556,42860,48494,51765,46217,48285,48729,47799,48886,49412,51356,52704.63,57881.35
HU21,5389.24,6112.76,6929.77,7606.97,8672.46,9401.26,9179.43,10368.54,10713.26,8632.85,9383.73,9823.55,9457.6,9863.09,10328.53,11146.14,11646.29,12354.17
HU22,5608.16,6054.28,7256.21,8005.41,8551.97,8922.09,9177.65,9879.41,10403.62,8764.92,9743.86,10225.56,10003.56,10265.35,11271.07,11966.21,12452.29,13179.36
HU23,3741.54,4299.65,5065.6,5256.37,5704.21,6063.38,5938.12,6583.79,6994.77,6135.29,6299.67,6424.77,6323.15,6419.86,6529.05,6617.05,6847.32,7478.88
HU31,4223.73,5040.01,5826.13,6182.3,6916.04,7554.87,7383.71,8052.77,8248.9,6950.68,7137.19,7267.62,7121.81,7422.17,7892.58,8659.84,8738.25,9733.89
HU32,5178.46,6261.06,7255.56,7730.5,8415.28,8920.88,8872.22,9655.99,10169.14,9115.16,9312.82,9726.29,9678.26,9679.22,10232.57,10593.04,10800.61,11791.28
HU33,5156.93,5992.46,6839.19,7049.64,7871.2,8390.97,8229.47,8938.28,9592.34,8208.47,8412.82,8868.28,8847.21,9154.74,9686.86,10228.95,10374.21,11257.81
IE01,19266,21978,25324,27070,30129,31628,35299,36345,34491,31183,29671,31643,31302,29457,30336,40176.03906,41824.93,45019.83
IE02,89117,99962,110627,118488,126015,138587,149762,160948,153197,138519,137453,141427,144451,150751,162823,215637.6406,224487.77,241635.79
IS00,,,,,,,,,,,,,,,,,,
ITC1,100448.59,104622.11,108148.14,112347.2,116777.2,120012.03,124739.02,128808.17,129163.69,120668.91,125313.08,128103.92,123950.21,125352.87,125479.7,127843.31,130941.61,132671.38
ITC2,3285.92,3446.78,3564.33,3830.01,3949.59,4091.02,4227.46,4346.49,4486.56,4289.19,4487.32,4558.8,4592.73,4403.43,4410.06,4402.03,4353.39,4452.65
ITC3,37131.39,39324.48,39839.51,41521.98,43080.29,44322.14,45695.21,48202.53,49253.56,46986.49,46687.84,47630.32,46801.39,46347.4,47246.68,47929.4,48692.48,49314.81
ITC4,257315.48,270004.61,281976.54,291488.27,301790.49,310194.99,319728.37,333047.41,346188.6,330594.01,345569.18,352857.44,346971.95,344407,351588.69,359484.77,369319.71,380955.24
ITF1,24046.07,25176.55,25738.56,26168.23,26272.54,27578.97,28867.53,30085.8,30862.67,29747.41,30580.96,31887.63,31788.32,31349.05,31439.79,31705.88,31800.58,32558.47
ITF2,5356.13,5611.97,5756.13,5862.93,6106.62,6244.97,6642.86,6909.61,6755.99,6587.46,6552.48,6546.02,6368.96,5961.14,5902.66,6037.27,6093.1,6121.07
ITF3,82289.11,86662.36,90435.2,92391.93,95408.06,97907.12,101681.61,105126.44,105536.78,102678.05,101429.69,101212.64,100738.03,99202.38,99942.79,102404.17,104039.92,106430.6
ITF4,57708.02,60044.49,61629.71,63245.58,65224.04,66580.94,69478.53,71142.47,70506.11,68785.39,69989.8,71266.57,71702.35,70115.38,70625.05,72181.24,73496.25,74751.5
ITF5,9589.65,9859.78,10139.84,10110.42,10418.37,10546.32,11147.27,11592.99,11571.41,10936.51,10797.55,11128.65,11080.67,11404.37,11008.13,12002.9,11889.79,12022.54
ITF6,26383.51,27732.06,28311.62,29158.84,30511.63,31426.52,32418.97,33252.54,33815.85,33091.76,32975.42,33327.94,32733.65,32254.96,32099.48,32452.25,32898.92,33705.84
ITG1,69928.46,73668.97,75977.37,78751.25,81124.05,84769.68,88153.77,90004.67,91119.55,88796.04,88965.75,88711.72,88048.68,86722.32,84976.71,86540.05,87025.2,88112.23
ITG2,25296.05,26797.68,27360.02,28649.92,30033.18,30669.69,31950.13,32947.72,33925.99,33089.66,33149.74,33374.6,33358.67,32505.97,32589.86,33743.22,33469.02,33965.03
ITH1,13786.55,14182.41,14432.22,14989.55,15951.63,16242.57,17174.73,17943.96,18541.02,18448.24,19081.46,19723.27,20493.29,20783.14,21051.3,21601.28,22101.23,22273.39
ITH2,13394.52,14059.58,14481.1,14947.87,15440.5,15811.71,16408.63,17250.27,17495.39,17220.6,17602.4,18013.9,17993.88,18396.53,18552.58,18584.98,18885.37,19472.99
ITH3,112685.89,116875.11,119678.8,125794.51,132333.99,136174.11,141078.44,146984.13,147219.96,142048.49,144738.18,149232.41,146772.68,147023.15,149520.21,152792.59,157723.48,162224.14
ITH4,28031.22,29472.58,30412.32,30716.56,31832.7,33159.7,34679.21,36206.87,35923.84,33967.9,35169.44,35844.05,34746.53,35105.69,35382.5,36472.43,36975.83,37641.57
ITH5,106967.53,111321.23,115005.93,118584.82,123614.13,127191.11,134163.99,140855.82,142842.2,135580.74,138755.13,144412.79,142532.24,143795.74,146839.6,149777.74,153768.38,157177.28
ITI1,80776.35,84608.58,87702.1,90840.29,94400.42,96425.18,100696.27,104999.31,106095.99,104028.6,105152.46,107703.76,107241.13,106455.99,108724.87,109988.35,112321.13,113798.4
ITI2,17667.66,18538.07,18984.17,19602.57,20441.91,20820.77,21858.19,22663.07,22967.2,21583.59,21947.41,22132.91,21519.51,21170.71,20838.6,21461.02,21563.75,21696.91
ITI3,30594.48,32162.55,33896.41,34784.39,36284.67,37355.05,39467.15,41210.09,40973.72,39856.36,39921.13,40486.37,39596.95,39131.67,40252.79,40423.64,41084.03,41183.17
ITI4,135579.2,143911.9,151541.35,156103.54,166260.16,171115.55,177057.56,184742.48,185198.94,182492.11,184141.23,187649.14,182525.36,180802.48,181792.02,182911.07,189982.04,193101.37
LI00,,,,,,,,,,,,,,,,,,
LT00,12491,13680,15172,16669,18237,21000,24079,29041,32696,26935,28028,31275,33348,35001,36590,37331,38742.63,42074.84
LU00,23079.42,23771.93,25094.71,26187.79,27935.53,30031.04,33808.45,37178.87,38128.58,36976.52,40177.81,43164.65,44112.1,46499.56,49824.51,51578.86,53303.03,55299.38
LV00,8603.04,9350.92,10151.78,10472.89,11670.23,13712.71,17248.05,22654.47,24309.3,18713.27,17759.42,20172.34,22025.23,22801.04,23583.44,24283.82,25003.03,26996.31
ME00,,,,,,,,,,,,,,,,,,
MK00,4095,4143,4241,4386,4577,5032,5472,6094,6772,6766,7108,7542,7584,8149,8562,9061,,
MT00,4387.92,4532.94,4728.99,4786.83,4856.96,5130.86,5375.1,5744.89,6115.96,6125.72,6585.73,6821.35,7153.99,7630.23,8489.94,9627.94,10326.83,11277.5
NL11,16536,18547,18982,20040,20522,22222,24945,24792,29807,26440,28522,29541,31575,33320,29194,24958.03,23459.71,23841.59
NL12,12505,13457,13626,14117,14304,14984,15837,16955,17549,17117,17315,18101,18052,18040,18279,18208.38,18429.68,19164.12
NL13,9879,10589,10995,11192,11260,11933,12447,13375,13832,13107,13026,13294,13307,13278,13613,13848.28,13916.27,14472.14
NL21,24609,26170,26948,27762,28572,29743,31394,33491,35339,34872,35088,36236,35379,35704,36554,37913.85,39497.11,41183.16
NL22,45473,48354,49974,51387,52590,54307,58394,61695,63974,62984,63412,65716,64628,65020,66599,68832.42,71082.08,74372.99
NL23,6875,7608,8067,8802,9208,9665,10751,11535,11625,11060,11544,11683,11667,11609,11935,12123.36,12629.75,13234.42
NL31,39340,42666,43886,44185,45575,47144,49678,53065,54894,55573,55923,56274,56331,57209,58068,63145.29,64514.47,67251.32
NL32,87917,91746,99040,100984,104988,108574,113673,119709,123899,121030,124982,126516,127198,130973,136936,146560.64,152850.18,158731.51
NL33,98889,105090,108254,111324,114962,120791,127160,135826,140078,135129,136917,136354,137656,137833,139670,148116.63,151492.25,157452.49
NL34,7558,7927,8523,8913,9122,9305,9757,10695,11244,10557,11178,11448,11325,11339,11535,12363.43,12630.86,13092.67
NL41,67882,71485,72739,74248,77208,80636,85683,90028,93250,89716,93365,96360,96510,96871,99399,101630.4,104696.69,109434.48
NL42,26350,27686,28789,29160,30343,30861,32480,34704,35382,33675,34669,35616,35136,35670,36157,38976.36,40972.2,42545.89
NO01,44272.21875,46305,49494.23438,48203.67578,50714.52344,59152.21484,65573.5625,69822.53906,71793.06,68912.4,79953.39,85672.29,96424.58,97961.02,96240.08,93234.41,95106.69,
NO02,7903.047852,8265.919922,8835.232422,8604.854492,9053.066406,10559.28125,11705.55762,12464.04395,13312.56,12589.77,14198.83,15253.67,16507.06,16513.63,16331.36,16219.44,16391.17,
NO03,20812.62109,21768.24414,23267.52148,22660.82227,23841.1875,27807.79297,30826.50586,32823.97266,35884.24,33813.38,37966.37,40132.2,44235.15,43989.94,42786.56,42655.62,42669.28,
NO04,21618.85352,22611.49609,24168.85156,23538.65039,24764.73828,28885.00195,32020.65234,34095.49609,35736.44,34421.73,40289.85,41710.18,46513.45,47098.36,46209.26,44980.8,41729.37,
NO05,24698.51758,25832.56055,27611.76563,26891.79297,28292.53906,32999.74609,36582.07813,38952.48828,40159.78,38941.22,44207.11,47649.15,52843.32,53960.07,52986.55,50719.39,49656.83,
NO06,10766.36621,11260.70898,12036.28516,11722.44043,12333.04102,14384.9668,15946.5459,16979.83594,17224.28,16681.78,19545.89,20774.47,23344.96,23730.18,23208.36,23073.49,23500.22,
NO07,11305.41016,11824.50391,12638.91113,12309.35254,12950.52637,15105.18652,16744.94922,17829.97461,18001.49,17685.27,20792.78,21806.33,23705.19,24281.32,24142.83,23415.81,24769.85,
PL11,11357,13025,13078,12140,12888,15394,17090,19514,22818,19408,22169,23181,23821,24083,25089,26113,25778.4,28184.49
PL12,38049,43661,42664,39121,41814,51112,57414,65902,76133,67390,78579,82575,85283,87291,91213,95160,94978.49,104781.08
PL21,14055,15711,15757,14605,15555,18642,21198,24028,28273,24300,27435,29280,29888,30521,32025,33947,33943.35,37584.49
PL22,24714,28269,28298,25768,28395,32644,35741,40548,47899,41034,46658,49085,49528,49157,51040,53286.00391,52498.38,57209.44
PL31,7680,8919,8722,7982,8362,9855,10820,12488,14778,12399,14132,14926,15359,15665,16030,16424,16333.53,17827.39
PL32,7443,8621,8581,7883,8230,9757,10797,12171,14442,12345,13907,14738,15032,15510,16094,16801.95508,16630.87,18064.13
PL33,4949,5630,5641,5205,5512,6361,7204,8366,10083,8373,9308,9609,9638,9498,9867,10201,9957.04,10835.37
PL34,4329,5131,5057,4574,4794,5733,6276,7304,8347,7290,8255,8656,8683,8943,9227,9454.024414,9335.12,10339.97
PL41,17396,19849,19208,17847,19458,23444,25870,29433,34464,30491,33951,35766,36982,38071,39779,42236,42119.98,46225.08
PL42,8186,9157,8921,7893,8261,9919,10980,12368,14574,12313,13828,14258,14583,14685,15376,16259,15898.68,17267.26
PL43,4390,4969,4877,4392,4840,5900,6536,7421,8416,7184,8120,8373,8574,8714,9180,9513,9476,10219.6
PL51,14608,16342,16407,14919,15834,19284,22316,25832,29888,26127,30892,32771,33438,33417,34781,36197,35711.83,39000.07
PL52,4356,4813,4750,4240,4870,5648,6151,7201,8563,7060,7855,8189,8259,8309,8696,9022,8786.1,9592.33
PL61,9032,10370,10220,9258,9836,11541,12885,14687,17052,14431,16344,16912,17221,17599,18174,19031,18872.35,20505.81
PL62,5384,6009,5918,5518,5841,6948,7678,8693,10101,8742,9901,10316,10489,10619,11038,11440.96289,11372.66,12273.69
PL63,10446,11930,12044,10932,11629,14021,15651,17916,20352,18193,20470,21599,22590,22642,23380,24707,24854.72,27257.09
PT11,36758.17,39242.12,40725.62,40974.66,42249.52,44218.47,46285.87,49219.74,50458.22,49209.51,50843.69,49997.33,48538.1,49404.28,50775.77,52739.85,55049.38,57240.64
PT15,4979.28,5423.42,5801.85,6115.93,6347.28,6741.04,7161.06,7653.13,7848.16,7448.5,7540.9,7347.35,7135.28,7189.21,7500.62,7893.8,8500.99,9014.99
PT16,24944.17,26246.02,27283.07,28225.4,29344.15,30243.63,31672.09,33206.86,33236.37,32941.16,33649.96,32918.77,31806.05,32176.8,32631.96,34193.62,35342.22,36755.69
PT17,47386.46,49882.86,52897.04,54321.76,57127.79,59469.24,62133.57,65589.57,67278.83,66244.97,67653.26,66073.05,62276.31,62790.79,63194.11,64823.29,66955.92,69977.65
PT18,8941.58,9291.58,9634.87,10001.65,10402.91,10716.5,11372.73,11818.85,11781.04,11343.51,11798.65,11526.1,10929.9,10895.02,11104.39,11940.52,12120.97,12736.41
PT20,2427.86,2665.99,2870.07,2982.58,3097.17,3264.13,3430.8,3603.47,3760.66,3729.3,3835.78,3760.34,3610.39,3663.07,3706.26,3829.68,3961.71,4128.06
PT30,2714.99,2817.29,3214.42,3373,3667.09,3890.21,4101.17,4305.81,4448.49,4335.29,4410.9,4367.16,3973.52,4031.38,4124.22,4237.07,4400.75,4607.71
RO11,4619.83,5280.94,5812.62,6308.37,7318.54,9407.26,11675.48,15357.72,16689.58,14444.1,14365.98,14401.48,15094.88,16146.4,17251.85,18370.79,20065.01,22114.37
RO12,4943.18,5475.81,5981.37,6384.88,7158.56,9056.85,11335.02,15110.34,16486.3,14255.98,14296.83,14610.26,15094.24,15872.48,16478.48,17698.44,19255.04,21224.8
RO21,4814.97,5469.96,5886.72,6339.83,7095.78,8964.46,10786.64,13800.72,15519.27,13430.26,13440.99,13286.08,13700.72,14724.18,15116.77,16070.14,17179.65,19041.8
RO22,4796.98,5317.73,5722.62,6078.19,7267.55,9089.25,11050.54,13791,15177.8,13239.62,13365.92,14533.41,14425.66,16201.09,16937.48,17134.1,17788.56,19627.29
RO31,5082.23,5852.91,6234.2,6620.8,7943.68,10177.62,12482.38,15917.27,18358.1,16437.02,15595.7,17188.28,15810.38,17506.93,19545.69,19483.5,20858.7,22981.4
RO32,9116.65,9580.38,10379.71,11228.43,13092.94,19069.9,22946.47,30690.35,38342.48,30938.08,31523.69,34882.43,35697.81,38769.27,40290.5,44514.1,46261.83,50552.67
RO41,3538.5,4120.81,4054.87,4705.68,5396,6561.38,8138.33,10232.95,11393.59,9977.53,9967.5,9891,10360.12,10830.8,10905.13,11724.6,12327.98,13622.94
RO42,3830.51,4362.51,4697.3,5223.79,6089.19,7842.5,9940.38,12620.13,14501.5,12388.98,12697.95,13013.29,12855.49,13634.31,13826.18,15174.36,16538.66,18212.73
RS11,,,,,,,,,,,,,,,,,,
RS12,,,,,,,,,,,,,,,,,,
RS21,,,,,,,,,,,,,,,,,,
RS22,,,,,,,,,,,,,,,,,,
SE11,81128.73,76398.18,80119.46,83109.41,88766.38,91440.06,96378.94,104220.41,103389.12,96061.68,111351.51,124744.62,131744.29,135940.73,137172.62,143357.9,147048.68,148157.26
SE12,40806.42,39108.45,41330.09,42980.49,44798.55,45530.12,48799.09,51771.7,50894.62,44616.1,53467.08,58776.56,61728.04,63375.42,62076.99,63723.92,66036.44,68501.89
SE21,22304.75,20988.89,22108.78,23091.66,24004.86,23400.1,25687.08,27328.98,27168.4,22468.4,26887.24,29652.15,30719.17,31671.9,31023.36,32213.15,33556.53,34724.12
SE22,36807.23,34633.97,36862.25,38113.65,39568.42,40479.13,43155.39,47928.75,45342.05,39362.56,46987.48,50650.29,52961.91,54739.99,54627.3,56822.87,58374.34,60835.87
SE23,54056.44,52107.56,53869.14,57884.52,59470.08,60471.44,65442.94,68812.12,68792.53,59203.71,70628.41,77373,79963.64,83227.82,82912.58,86997.8,90086.59,93182.95
SE31,22511.44,20717.06,21885.13,22923.11,24031.29,24357.57,25843.02,26691.67,26263.5,22340.16,26824.52,28805.32,30118.07,30570.07,29905.94,30449.77,31686.08,32271.86
SE32,10680.52,10740.76,10726.47,10939.37,11390,11631.69,12083.18,12178.04,12474.85,11077.28,13479.69,14076.35,14521.02,14629.62,14268.45,14374.7,14621.42,14925.64
SE33,13871.97,13400.06,13991.76,14689.25,15676.12,16176.89,17800.44,17834.24,18326.82,14784.79,19739.77,21236.69,21943.29,21949.79,21046.64,21152.51,21633.08,22518.08
SI03,10167.89,10672.56,11504.71,11805.92,12462.55,13107.18,14047.58,15590.8,16820.69,15856.24,15888.15,16287.5,15899.69,16007.33,16590.7,17091.6,17633.41,18694.08
SI04,11755.59,12575.53,13546.01,14497.18,15274.11,16128.19,17513.58,19561.79,21130.5,20309.96,20364.28,20608.8,20176.4,20231.87,21012.59,21771.74,22723.81,24305.58
SK01,5549.33,5857.79,6619.2,7535.11,8755.15,10722.72,11934.17,15057.73,17342.13,17954.73,18990.81,19597.25,19870.17,20805.17,21113.47,22282.56,22914.42,23727.2
SK02,7335.89,7703.9,8339.51,9752.96,11376.43,12813.35,15538.07,18823.11,21708.91,20606.46,21591.48,22923.87,23694.85,23708.32,24404.66,24662.56,25478.02,26393.92
SK03,4627.8,5014.45,5559.95,6267.64,7118.46,7620.29,8849.22,11130.35,13402.08,12769.18,13512.57,13837.28,14286.82,14582.7,14950.2,15696.49,16028.28,16684.34
SK04,4833.83,5295.49,5786.96,6508.82,7452.23,8191.94,9208.71,11230.44,13549.66,12692.69,13482.42,14268.81,14851.68,15073.69,15619.46,16496.62,16805.35,18045.41
TR10,,,,,,,,,,,,,,,,,,
TR21,,,,,,,,,,,,,,,,,,
TR22,,,,,,,,,,,,,,,,,,
TR31,,,,,,,,,,,,,,,,,,
TR32,,,,,,,,,,,,,,,,,,
TR33,,,,,,,,,,,,,,,,,,
TR41,,,,,,,,,,,,,,,,,,
TR42,,,,,,,,,,,,,,,,,,
TR51,,,,,,,,,,,,,,,,,,
TR52,,,,,,,,,,,,,,,,,,
TR61,,,,,,,,,,,,,,,,,,
TR62,,,,,,,,,,,,,,,,,,
TR63,,,,,,,,,,,,,,,,,,
TR71,,,,,,,,,,,,,,,,,,
TR72,,,,,,,,,,,,,,,,,,
TR81,,,,,,,,,,,,,,,,,,
TR82,,,,,,,,,,,,,,,,,,
TR83,,,,,,,,,,,,,,,,,,
TR90,,,,,,,,,,,,,,,,,,
TRA1,,,,,,,,,,,,,,,,,,
TRA2,,,,,,,,,,,,,,,,,,
TRB1,,,,,,,,,,,,,,,,,,
TRB2,,,,,,,,,,,,,,,,,,
TRC1,,,,,,,,,,,,,,,,,,
TRC2,,,,,,,,,,,,,,,,,,
TRC3,,,,,,,,,,,,,,,,,,
UKC1,23848.76,23857.34,25076.59,24230.21,26311.81,27219.49,28637.75,29674.95,25978.5,23336.03,24700.24,24685.07,26933.67,26387.08,28560.19,32858.24,29116.32,28038.89
UKC2,31275.65,32261.79,34517.41,32870.67,36295.88,38124.81,40098.38,40618.5,35505.34,30824.26,32699.79,33878.73,37145.18,36023.84,39678.75,45344.86,41539.41,40356.01
UKD1,11942.68,11722.94,12416.37,12350.17,12970.77,13213.66,14488.15,14863.44,13434.71,11721.62,12526.16,12511.59,13906.86,13872.46,15244.06,17960.42,15781.72,14862.26
UKD3,64715.88,67108.61,70225.75,66895.02,71736.53,75816.21,80305.82,83967.62,72798.08,64829.41,69095.16,69038.95,76971.86,76353.25,82462.75,95178.67,87834.81,85326.92
UKD4,34023.91,34290.45,35750.74,35120.24,38225.84,38874.78,40275.8,41957.04,35896.68,30651.72,32993.62,33514.8,36873.44,36197.86,39306.23,46589.05,43551.3,41972.25
UKD6,27724.14,30632.07,31656.72,29642.33,31433.27,32638.06,35335.73,37159.4,31623.83,28460.46,30481.14,30595.65,34718.86,34316.64,37999.64,42756.15,39953.16,39739.32
UKD7,32494.25,33521.21,35377.92,34865.12,36844.72,38022.55,40991.99,41499.5,36934.71,33737.72,35770.17,35755.15,38004.53,36788.46,40740.71,47032.07,41744.7,41153.85
UKE1,20652.21,21292,22558.68,21802.53,23541.37,24380.34,25857.64,27330.48,23555.5,21806.58,22054.43,21769.78,23321.09,22230.48,24142.8,28685.74,25682.41,23912.2
UKE2,20288.1,21032.6,22802.52,22153.93,23488.94,23961.53,24858.23,26095.79,22532.74,19383.63,20400.15,20991.6,22987.28,22922.59,24662.65,27486.32,25139.07,24591.84
UKE3,25863.3,26905.7,28495.64,27391.16,29729.39,30633.29,32581.66,34829.53,29211.93,25441.01,27395.23,27826.19,30686.95,30215.42,32808.01,38040.29,34701.71,33392.54
UKE4,54688.93,55117.32,57054.89,55353.54,60010.91,63346.02,66556.64,70006.28,59554.88,52242.63,55044.17,56464.12,61651.15,60554.75,65838.43,77079.32,70429.9,68132.8
UKF1,48079.93,48607.36,50248.59,47481.65,51247.4,54146.78,56497.45,58402.38,50816.28,44127.09,47944.24,50001.2,54824.62,54274.38,59390.25,67454.63,61843.09,59817.75
UKF2,42621.83,42773.62,43769.17,42331.06,45203.55,47148.74,50811.9,53048.24,46569.79,40311.49,43914.7,44182.24,48784.34,48890.44,54124.95,62266.4,58154.62,56718.88
UKF3,14376.22,15086.15,15687,15307.34,15465.97,15755.75,16849.95,17470.74,15692.57,13350.89,14580.41,14861.63,16431.11,16567.07,18146.36,20302.15,17985.22,17386.83
UKG1,34119.06,33807.44,34397.26,33260.58,35417.72,36543.72,38926.44,39114.47,34706,29577.04,32189.79,33929.06,38291.44,38640.67,43302.46,49782.87,44966.47,43910.97
UKG2,34627.72,35059.7,36588.28,34842.66,37775.3,38949.45,40671.33,41460.56,37048.5,31283.95,33853.12,35027.29,38234.89,37673.03,41084.03,47226.57,42866.98,41473.76
UKG3,68002.08,68863.56,70800.01,66976.85,71156.56,74063.04,76490.49,79515.57,68043.68,59006.19,64088.32,65417.75,71770.24,72051.64,80063.62,92298.21,87843.03,85637.83
UKH1,60114.1,61518.16,63665.06,60786.52,64717.87,67894.51,72984.42,75165.73,66005.09,57421.29,61723.41,63190.31,70766.06,70125.6,76944.47,88002.22,80805.51,78207.99
UKH2,54374.22,54863.29,56335.74,54084.34,56647.39,59631.91,61553.09,64178.37,58047.79,49701.36,51558.28,51687.91,56238.48,57277.46,64234.37,74289.93,68624.67,67166.65
UKH3,40559.72,42170.75,43498.83,43040.27,45034.8,46335.46,48534.75,50137.53,43999.69,38053.68,41112.26,41343.1,45188.31,44169.61,49354.5,57022.61,51612.55,50942.54
UKI3,138593.24,141775.49,147119.98,143958.02,156122.72,170030.89,180285.64,200032.54,176033.47,158086.02,170954.84,177683.96,199282.39,200493.52,227954.75,259897.44,251230.54,245189.95
UKI4,80424.15,82123.2,84990.4,82518.45,89669.85,96703.2,103126.16,113817.8,102161.28,92191.78,99735.52,106622.76,117048.21,115411.82,128910.77,147190.57,136148.96,134081.49
UKI5,37547.98,37633.99,38782.83,37448.44,39824.87,41636.01,44379.23,46563.23,40320.8,33151.08,36001.87,36575.92,41785.4,41633.2,45702.98,51902.31,47476.54,46196.59
UKI6,35048.56,35156.3,36105.9,34834.64,37011.83,38629.66,40825.96,43055.45,36906.95,30705.95,32297.22,32468.19,36612.74,35578.26,39616.2,43591.27,40172.14,38917.06
UKI7,69037.71,68870.71,70506.7,67334.66,70607.72,73309.83,77987.97,81765.93,71442.26,59374.69,63226.24,65488.73,74322.08,75165.46,86370.02,98852.57,91161.96,89561.53
UKJ1,90787.76,90890.81,94708.64,91272.84,95195.98,98677.14,103218.94,107775.73,96565.91,84156.35,90357.41,93499.47,103406.2,102774.6,113641.69,132056.58,120787.41,116149.91
UKJ2,85144.86,85983.74,88799.95,83861.46,87318.83,90570.38,97360.85,100979.21,90953.89,78605.5,84463.88,85077.53,95167.19,95024.32,103956.22,120545.55,108948.73,105005.79
UKJ3,53865.55,55285.48,58256.42,54463.01,59022.98,61430.53,63823.73,67444.4,59826.87,52639.47,57173.5,58318.6,64317.48,63917.73,70059.84,79359.29,71060.84,68937.07
UKJ4,40010.8,40823.67,42813.25,41504.72,43963.33,46296.5,47948.78,49978.52,45336.09,38561.44,41747.83,42607.81,46749.76,46261.75,50923.8,59030.9,54306.02,53086.82
UKK1,67531.84,70568.42,73019.3,69609.9,74349.69,76645.71,79724.73,84764.25,74947.69,66628.76,72289.81,72871.79,80445.13,79565.94,89393.25,100609.25,91554.76,88078.9
UKK2,30971.92,30751.92,31271.52,29982.5,31955.9,33699.7,35382.93,36138.87,32332.96,28263.27,29736.85,30102.67,33047.06,32413.02,36025.85,40712.35,37319.91,36206.19
UKK3,9573.17,9916.11,10529.27,10474.46,11050.63,11627.7,12308.66,12543.31,11373.92,9617.87,10249.26,10382.23,11596.4,11453.38,12343.14,14204.71,13267.54,12769.36
UKK4,24727.03,25007.63,26165.03,25117.52,27717.51,28654.48,30394.04,30833.39,27159.47,23466.66,25362.98,25509.71,28048.2,28060,30379.7,34909.75,32072.57,30783.16
UKL1,35204.09,35068.64,36673.09,35149.13,38307.76,39892.59,42432.5,43366.97,37394.05,32553.36,35154.02,36520.43,40352.23,39803.41,43249.64,49329.03,44881.61,43269.87
UKL2,28560.33,28834.18,29700.7,29027.79,30981.09,32079.65,33714.54,35337.37,29705.97,26333.29,28134.35,29343.84,32598.76,32329.97,34658.1,40091.8,37641.54,36627.6
UKM2,51705,52493,55138,53097,58534,60076,65555,68709,58594,52664,54015,54635,59279,59452,64457,74191,67808.17,65683.45
UKM3,56505,58414,58230,56005,61074,65446,68716,69967,61471,54793,56411,57316,61753,61573,69254,79008,72210.75,69948.08
UKM5,17473.96,18363.5,19070.72,17552.1,18713.17,20034.76,21947.9,24358.12,23022.61,20275.91,21504.3,22547.97,25206.69,25200.61,27795.7,29659.78,25278.67,23903.2
UKM6,11324.23,11672.85,11884.52,11926.57,13054.33,13858.11,14309.11,14709.3,13175.21,11811.59,12436.84,12923.27,14098.59,14254.77,15341.36,17350.68,15799.51,14675.96
UKN0,41099.5,41592.92,42417.46,41747.01,44702.22,47002.64,49758.78,51557.19,44378.55,38762.33,40500,41390.85,45948.35,44967.18,48919.43,55971.38,52320.13,50888.58
